id_consulta,id_paciente,id_medico,id_especialidade,data_hora,motivo_visita,status_consulta,sala_atendimento,valor_cobrado,nome_medico,cpf,data_nascimento,genero,endereco,telefone,email,plano_saude,nome_completo_medico,crm,nome_especialidade,tempo_medio_consulta_min
709,87,11,11,2025-09-08 09:45:00,Manejo de asma moderada,Cancelada,Sala 207,229.6,Pedro Costa Nunes,483.541.249-41,1962-05-12,Masculino,"Rua Esperança, 747 - Jaguaribe, João Pessoa/PB",(83) 99087-7751,pedro.costa.nun@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
6,72,11,11,2025-01-02 14:30:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Débora Oliveira Dias,910.740.703-94,1984-05-26,Feminino,"Rua Principal, 2240 - Bancários, João Pessoa/PB",(83) 99646-4241,débora.oliveira@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
298,72,11,11,2025-04-17 17:30:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Débora Oliveira Dias,910.740.703-94,1984-05-26,Feminino,"Rua Principal, 2240 - Bancários, João Pessoa/PB",(83) 99646-4241,débora.oliveira@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
489,72,11,11,2025-06-23 13:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Débora Oliveira Dias,910.740.703-94,1984-05-26,Feminino,"Rua Principal, 2240 - Bancários, João Pessoa/PB",(83) 99646-4241,débora.oliveira@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
7,75,11,11,2025-01-02 10:30:00,Acompanhamento de bronquite,Realizada,Sala 207,229.6,Diego Vieira Santos,767.552.384-33,1977-08-17,Masculino,"Rua Principal, 1935 - Centro, João Pessoa/PB",(83) 99198-8141,diego.vieira.sa@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1148,75,11,11,2026-02-05 14:15:00,Acompanhamento de bronquite,Realizada,Sala 207,229.6,Diego Vieira Santos,767.552.384-33,1977-08-17,Masculino,"Rua Principal, 1935 - Centro, João Pessoa/PB",(83) 99198-8141,diego.vieira.sa@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1537,75,11,11,2026-07-01 14:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,229.6,Diego Vieira Santos,767.552.384-33,1977-08-17,Masculino,"Rua Principal, 1935 - Centro, João Pessoa/PB",(83) 99198-8141,diego.vieira.sa@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
9,83,11,11,2025-01-03 14:30:00,Manejo de asma moderada,Não Compareceu,Sala 207,252.0,André Vieira Martins,425.862.584-58,1984-07-02,Masculino,"Rua Principal, 527 - Centro, João Pessoa/PB",(83) 98790-3492,andré.vieira.ma@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
796,83,11,11,2025-10-03 10:45:00,Tosse crônica persistente,Realizada,Sala 207,252.0,André Vieira Martins,425.862.584-58,1984-07-02,Masculino,"Rua Principal, 527 - Centro, João Pessoa/PB",(83) 98790-3492,andré.vieira.ma@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1685,83,11,11,2026-08-20 09:30:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,André Vieira Martins,425.862.584-58,1984-07-02,Masculino,"Rua Principal, 527 - Centro, João Pessoa/PB",(83) 98790-3492,andré.vieira.ma@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
155,24,11,11,2025-02-25 16:00:00,Acompanhamento de bronquite,Realizada,Sala 207,246.4,Isabela Duarte Correia,294.649.559-27,1968-04-07,Feminino,"Rua Bancários, 1033 - Altiplano, João Pessoa/PB",(83) 98864-4006,isabela.duarte.@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1374,24,11,11,2026-05-06 16:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,246.4,Isabela Duarte Correia,294.649.559-27,1968-04-07,Feminino,"Rua Bancários, 1033 - Altiplano, João Pessoa/PB",(83) 98864-4006,isabela.duarte.@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1131,31,11,11,2026-01-30 12:15:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,238.0,Guilherme Sampaio Neves,505.234.787-92,1995-04-09,Masculino,"Rua Principal, 48 - Mangabeira, João Pessoa/PB",(83) 98614-8491,guilherme.sampa@email.com,SulAmérica,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
53,65,11,11,2025-01-20 10:15:00,Manejo de asma moderada,Cancelada,Sala 207,252.0,Amanda Nascimento Almeida,336.223.838-34,1989-05-09,Feminino,"Rua Esperança, 768 - Torre, João Pessoa/PB",(83) 98646-2958,amanda.nascimen@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
761,98,11,11,2025-09-23 13:45:00,Manejo de asma moderada,Não Compareceu,Sala 207,246.4,Fernanda Marques Lopes,806.479.322-66,2007-05-02,Feminino,"Rua Principal, 1514 - Mangabeira, João Pessoa/PB",(83) 98910-4868,fernanda.marque@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1207,98,11,11,2026-03-02 14:30:00,Tosse crônica persistente,Realizada,Sala 207,246.4,Fernanda Marques Lopes,806.479.322-66,2007-05-02,Feminino,"Rua Principal, 1514 - Mangabeira, João Pessoa/PB",(83) 98910-4868,fernanda.marque@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1588,98,11,11,2026-07-17 12:30:00,Tosse crônica persistente,Realizada,Sala 207,246.4,Fernanda Marques Lopes,806.479.322-66,2007-05-02,Feminino,"Rua Principal, 1514 - Mangabeira, João Pessoa/PB",(83) 98910-4868,fernanda.marque@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
986,117,11,11,2025-12-10 10:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,229.6,Rodrigo Vieira Martins,417.863.447-38,1965-07-28,Masculino,"Rua Epitácio Pessoa, 477 - Tambaú, João Pessoa/PB",(83) 98682-3754,rodrigo.vieira.@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1014,117,11,11,2025-12-19 11:15:00,Acompanhamento de bronquite,Realizada,Sala 207,229.6,Rodrigo Vieira Martins,417.863.447-38,1965-07-28,Masculino,"Rua Epitácio Pessoa, 477 - Tambaú, João Pessoa/PB",(83) 98682-3754,rodrigo.vieira.@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1328,120,11,11,2026-04-21 15:30:00,Tosse crônica persistente,Realizada,Sala 207,246.4,Débora Rocha Gomes,460.619.175-49,1990-10-02,Feminino,"Rua Principal, 1520 - Manaíra, João Pessoa/PB",(83) 98945-8404,débora.rocha.go@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1198,118,11,11,2026-02-26 10:45:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Bruno Ribeiro Andrade,249.362.302-32,1973-04-04,Masculino,"Rua das Flores, 2033 - Tambaú, João Pessoa/PB",(83) 99233-3504,bruno.ribeiro.a@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
923,33,11,11,2025-11-17 16:45:00,Acompanhamento de bronquite,Não Compareceu,Sala 207,252.0,Bruno Gomes Ferreira,409.726.926-93,2011-09-23,Masculino,"Rua dos Ipês, 434 - Torre, João Pessoa/PB",(83) 99083-1128,bruno.gomes.fer@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1087,33,11,11,2026-01-15 14:15:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Bruno Gomes Ferreira,409.726.926-93,2011-09-23,Masculino,"Rua dos Ipês, 434 - Torre, João Pessoa/PB",(83) 99083-1128,bruno.gomes.fer@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
635,77,11,11,2025-08-12 09:00:00,Tosse crônica persistente,Não Compareceu,Sala 207,229.6,Felipe Lima Costa,626.944.101-94,1969-07-28,Masculino,"Rua Bancários, 232 - Centro, João Pessoa/PB",(83) 99780-9889,felipe.lima.cos@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1524,77,11,11,2026-06-26 13:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,229.6,Felipe Lima Costa,626.944.101-94,1969-07-28,Masculino,"Rua Bancários, 232 - Centro, João Pessoa/PB",(83) 99780-9889,felipe.lima.cos@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
389,79,11,11,2025-05-19 12:15:00,Manejo de asma moderada,Realizada,Sala 207,246.4,João Rocha Barbosa,418.664.114-80,1985-12-06,Masculino,"Rua Principal, 1900 - Bessa, João Pessoa/PB",(83) 98835-2527,joão.rocha.barb@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
565,79,11,11,2025-07-17 17:15:00,Manejo de asma moderada,Realizada,Sala 207,246.4,João Rocha Barbosa,418.664.114-80,1985-12-06,Masculino,"Rua Principal, 1900 - Bessa, João Pessoa/PB",(83) 98835-2527,joão.rocha.barb@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1621,79,11,11,2026-07-29 09:45:00,Tosse crônica persistente,Realizada,Sala 207,246.4,João Rocha Barbosa,418.664.114-80,1985-12-06,Masculino,"Rua Principal, 1900 - Bessa, João Pessoa/PB",(83) 98835-2527,joão.rocha.barb@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
692,48,11,11,2025-09-01 09:15:00,Acompanhamento de bronquite,Realizada,Sala 207,246.4,Ana Fernandes Pereira,920.575.783-77,1970-08-05,Feminino,"Rua Epitácio Pessoa, 2077 - Centro, João Pessoa/PB",(83) 99144-6198,ana.fernandes.p@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
587,99,11,11,2025-07-24 12:00:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Ana Martins Lima,943.565.193-94,1979-02-28,Feminino,"Rua dos Ipês, 1007 - Manaíra, João Pessoa/PB",(83) 98434-1349,ana.martins.lim@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
725,99,11,11,2025-09-11 10:00:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Ana Martins Lima,943.565.193-94,1979-02-28,Feminino,"Rua dos Ipês, 1007 - Manaíra, João Pessoa/PB",(83) 98434-1349,ana.martins.lim@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1112,99,11,11,2026-01-23 12:15:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Ana Martins Lima,943.565.193-94,1979-02-28,Feminino,"Rua dos Ipês, 1007 - Manaíra, João Pessoa/PB",(83) 98434-1349,ana.martins.lim@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
29,107,11,11,2025-01-10 15:45:00,Tosse crônica persistente,Realizada,Sala 207,246.4,Lucas Marques Oliveira,862.856.481-26,1966-07-04,Masculino,"Rua Epitácio Pessoa, 2310 - Jaguaribe, João Pessoa/PB",(83) 99139-1982,lucas.marques.o@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1466,5,11,11,2026-06-08 12:45:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Roberto Alves Monteiro,649.227.487-20,1960-12-15,Masculino,"Rua dos Ipês, 2374 - Jaguaribe, João Pessoa/PB",(83) 99130-5803,roberto.alves.m@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
32,111,11,11,2025-01-11 13:30:00,Manejo de asma moderada,Cancelada,Sala 207,252.0,Fernando Alves Martins,261.478.419-51,2008-08-11,Masculino,"Rua das Flores, 654 - Manaíra, João Pessoa/PB",(83) 99590-2391,fernando.alves.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
869,114,11,11,2025-10-28 16:30:00,Manejo de asma moderada,Realizada,Sala 207,229.6,Gabriel Moreira Lima,107.609.864-65,1992-06-04,Masculino,"Rua Epitácio Pessoa, 952 - Bancários, João Pessoa/PB",(83) 98359-3116,gabriel.moreira@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
726,106,11,11,2025-09-12 12:30:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Aline Marques Almeida,197.420.537-50,2006-07-24,Feminino,"Rua das Flores, 1952 - Mangabeira, João Pessoa/PB",(83) 99362-5176,aline.marques.a@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
804,106,11,11,2025-10-07 15:00:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Aline Marques Almeida,197.420.537-50,2006-07-24,Feminino,"Rua das Flores, 1952 - Mangabeira, João Pessoa/PB",(83) 99362-5176,aline.marques.a@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
211,40,11,11,2025-03-18 10:00:00,Tosse crônica persistente,Não Compareceu,Sala 207,246.4,João Dias Alves,985.171.891-45,2006-06-09,Masculino,"Rua Esperança, 2206 - Bancários, João Pessoa/PB",(83) 98719-9346,joão.dias.alves@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1452,45,11,11,2026-06-03 08:15:00,Acompanhamento de bronquite,Realizada,Sala 207,252.0,Débora Almeida Almeida,912.915.853-31,1982-09-16,Feminino,"Rua Epitácio Pessoa, 1382 - Altiplano, João Pessoa/PB",(83) 99349-2389,débora.almeida.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1556,45,11,11,2026-07-07 10:30:00,Acompanhamento de bronquite,Realizada,Sala 207,252.0,Débora Almeida Almeida,912.915.853-31,1982-09-16,Feminino,"Rua Epitácio Pessoa, 1382 - Altiplano, João Pessoa/PB",(83) 99349-2389,débora.almeida.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
38,86,11,11,2025-01-14 14:30:00,Tosse crônica persistente,Realizada,Sala 207,252.0,André Rocha Dias,192.544.200-91,1991-04-24,Masculino,"Rua das Flores, 1236 - Centro, João Pessoa/PB",(83) 99441-2646,andré.rocha.dia@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
428,109,11,11,2025-05-31 16:30:00,Tosse crônica persistente,Cancelada,Sala 207,252.0,Mateus Ribeiro Machado,385.687.331-64,2002-02-25,Masculino,"Rua Esperança, 1105 - Jaguaribe, João Pessoa/PB",(83) 99730-1430,mateus.ribeiro.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
73,34,11,11,2025-01-25 17:15:00,Acompanhamento de bronquite,Realizada,Sala 207,280.0,Diego Souza Mendes,259.378.388-87,1968-12-18,Masculino,"Rua Esperança, 1091 - Bessa, João Pessoa/PB",(83) 98431-6617,diego.souza.men@email.com,Particular,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1293,34,11,11,2026-04-07 13:30:00,Acompanhamento de bronquite,Realizada,Sala 207,280.0,Diego Souza Mendes,259.378.388-87,1968-12-18,Masculino,"Rua Esperança, 1091 - Bessa, João Pessoa/PB",(83) 98431-6617,diego.souza.men@email.com,Particular,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
391,18,11,11,2025-05-19 13:45:00,Manejo de asma moderada,Realizada,Sala 207,246.4,Clarice Lispector Cunha,993.721.533-37,1976-05-17,Feminino,"Rua Esperança, 1286 - Bessa, João Pessoa/PB",(83) 99902-9835,clarice.lispect@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
452,18,11,11,2025-06-10 16:30:00,Manejo de asma moderada,Realizada,Sala 207,246.4,Clarice Lispector Cunha,993.721.533-37,1976-05-17,Feminino,"Rua Esperança, 1286 - Bessa, João Pessoa/PB",(83) 99902-9835,clarice.lispect@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1168,18,11,11,2026-02-13 11:45:00,Acompanhamento de bronquite,Realizada,Sala 207,246.4,Clarice Lispector Cunha,993.721.533-37,1976-05-17,Feminino,"Rua Esperança, 1286 - Bessa, João Pessoa/PB",(83) 99902-9835,clarice.lispect@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
561,76,11,11,2025-07-15 15:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,229.6,Carolina Costa Costa,521.810.607-46,1968-03-11,Feminino,"Rua Principal, 1872 - Torre, João Pessoa/PB",(83) 99356-7561,carolina.costa.@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
643,20,11,11,2025-08-14 08:00:00,Manejo de asma moderada,Realizada,Sala 207,252.0,Luciana Guedes Nogueira,335.702.325-10,1957-10-18,Feminino,"Rua Principal, 138 - Bessa, João Pessoa/PB",(83) 98145-1964,luciana.guedes.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1190,20,11,11,2026-02-23 15:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Luciana Guedes Nogueira,335.702.325-10,1957-10-18,Feminino,"Rua Principal, 138 - Bessa, João Pessoa/PB",(83) 98145-1964,luciana.guedes.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
844,62,11,11,2025-10-20 10:15:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Aline Silva Lopes,317.463.916-43,1996-03-16,Feminino,"Rua Esperança, 1141 - Jaguaribe, João Pessoa/PB",(83) 98697-5581,aline.silva.lop@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1353,62,11,11,2026-04-30 09:00:00,Tosse crônica persistente,Não Compareceu,Sala 207,252.0,Aline Silva Lopes,317.463.916-43,1996-03-16,Feminino,"Rua Esperança, 1141 - Jaguaribe, João Pessoa/PB",(83) 98697-5581,aline.silva.lop@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
724,54,11,11,2025-09-11 13:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,280.0,Leonardo Vieira Vieira,538.238.987-69,1958-02-21,Masculino,"Rua Bancários, 1350 - Altiplano, João Pessoa/PB",(83) 98372-1823,leonardo.vieira@email.com,Particular,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
438,52,11,11,2025-06-05 13:00:00,Tosse crônica persistente,Realizada,Sala 207,229.6,Bruno Gomes Moreira,865.852.659-87,2004-07-18,Masculino,"Rua das Flores, 1127 - Centro, João Pessoa/PB",(83) 99838-4613,bruno.gomes.mor@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1003,52,11,11,2025-12-17 13:00:00,Acompanhamento de bronquite,Realizada,Sala 207,229.6,Bruno Gomes Moreira,865.852.659-87,2004-07-18,Masculino,"Rua das Flores, 1127 - Centro, João Pessoa/PB",(83) 99838-4613,bruno.gomes.mor@email.com,Amil,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
377,58,11,11,2025-05-15 14:45:00,Acompanhamento de bronquite,Realizada,Sala 207,252.0,Thiago Vieira Dias,303.177.706-98,2003-07-23,Masculino,"Rua Esperança, 1245 - Tambaú, João Pessoa/PB",(83) 99701-4978,thiago.vieira.d@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
306,7,11,11,2025-04-21 17:00:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Gabriel Martins Ferreira,473.266.479-55,2013-11-27,Masculino,"Rua Epitácio Pessoa, 710 - Tambaú, João Pessoa/PB",(83) 98429-5374,gabriel.martins@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
325,2,11,11,2025-04-26 09:00:00,Acompanhamento de bronquite,Realizada,Sala 207,224.0,Mariana Souza Lima,195.323.338-74,2009-01-01,Feminino,"Rua das Flores, 2242 - Torre, João Pessoa/PB",(83) 99232-1434,mariana.souza.l@email.com,Cassi,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1643,2,11,11,2026-08-05 09:30:00,Acompanhamento de bronquite,Realizada,Sala 207,224.0,Mariana Souza Lima,195.323.338-74,2009-01-01,Feminino,"Rua das Flores, 2242 - Torre, João Pessoa/PB",(83) 99232-1434,mariana.souza.l@email.com,Cassi,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
826,103,11,11,2025-10-14 12:30:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Eduarda Pereira Barbosa,987.774.633-48,1960-12-26,Feminino,"Rua Bancários, 1655 - Manaíra, João Pessoa/PB",(83) 98938-1510,eduarda.pereira@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1000,103,11,11,2025-12-16 10:15:00,Falta de ar e sibilos noturnos,Não Compareceu,Sala 207,252.0,Eduarda Pereira Barbosa,987.774.633-48,1960-12-26,Feminino,"Rua Bancários, 1655 - Manaíra, João Pessoa/PB",(83) 98938-1510,eduarda.pereira@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
456,42,11,11,2025-06-12 16:45:00,Acompanhamento de bronquite,Realizada,Sala 207,246.4,Leonardo Mendes Vieira,825.546.101-76,1979-05-02,Masculino,"Rua dos Ipês, 1776 - Bessa, João Pessoa/PB",(83) 99895-9821,leonardo.mendes@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
72,43,11,11,2025-01-25 09:45:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Felipe Barbosa Costa,619.416.782-62,1970-12-10,Masculino,"Rua Epitácio Pessoa, 531 - Altiplano, João Pessoa/PB",(83) 98668-7592,felipe.barbosa.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
646,43,11,11,2025-08-15 12:45:00,Falta de ar e sibilos noturnos,Não Compareceu,Sala 207,252.0,Felipe Barbosa Costa,619.416.782-62,1970-12-10,Masculino,"Rua Epitácio Pessoa, 531 - Altiplano, João Pessoa/PB",(83) 98668-7592,felipe.barbosa.@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
74,19,11,11,2025-01-27 11:00:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,246.4,Otávio Mesquita Barros,482.548.629-67,2006-11-21,Masculino,"Rua Principal, 1394 - Bessa, João Pessoa/PB",(83) 98247-5061,otávio.mesquita@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
663,19,11,11,2025-08-21 12:45:00,Tosse crônica persistente,Realizada,Sala 207,246.4,Otávio Mesquita Barros,482.548.629-67,2006-11-21,Masculino,"Rua Principal, 1394 - Bessa, João Pessoa/PB",(83) 98247-5061,otávio.mesquita@email.com,Bradesco Saúde,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
329,85,11,11,2025-04-29 10:30:00,Acompanhamento de bronquite,Realizada,Sala 207,252.0,Isabela Nascimento Martins,790.979.646-58,1965-06-28,Feminino,"Rua Epitácio Pessoa, 157 - Centro, João Pessoa/PB",(83) 99954-6188,isabela.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
337,85,11,11,2025-04-30 14:15:00,Falta de ar e sibilos noturnos,Realizada,Sala 207,252.0,Isabela Nascimento Martins,790.979.646-58,1965-06-28,Feminino,"Rua Epitácio Pessoa, 157 - Centro, João Pessoa/PB",(83) 99954-6188,isabela.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
1695,85,11,11,2026-08-24 13:45:00,Tosse crônica persistente,Realizada,Sala 207,252.0,Isabela Nascimento Martins,790.979.646-58,1965-06-28,Feminino,"Rua Epitácio Pessoa, 157 - Centro, João Pessoa/PB",(83) 99954-6188,isabela.nascime@email.com,Unimed,Dr. André Luiz Barreto,6789/PB,Pneumologia,35
